scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,standard_dqn,817,96.6889693620801,31.845779988542198,64.8431893903017,1.5759394041262567,17867.68510465622,892.8564005225896,0.0,28.5,0.0,1.05,0.0,0.19133182913064956,0.0,0.0,0.0,0.2421875,0.7578125
burst,standard_dqn,818,97.96929009780288,32.126312140375376,65.84297787435352,1.5753726839553566,17839.72731027603,847.1019832715392,0.0,28.7,0.0,1.15,0.0,0.1920064315199852,0.0,0.0,0.00234375,0.2296875,0.76796875
burst,standard_dqn,819,95.79560728117823,32.40233090166002,63.393276380822066,1.5768425525631755,17951.42629814148,793.8574415355921,0.0,28.25,0.0,0.8,0.0,0.19215555638074874,0.0,0.0,0.0,0.1953125,0.8046875
energy_limited,centered_full_action_dqn_exact,800,119.68275651879608,28.187278006225824,91.49547842726112,1.4736245734617115,15859.441923522949,813.4732662774622,0.0,39.1,0.0,1.05,0.0,0.19240895733237268,0.0,0.0,0.003125,0.24296875,0.75390625
energy_limited,centered_full_action_dqn_exact,801,120.08535002879799,29.52309042327106,90.56225966215133,1.4951892378274352,16392.86293182373,666.7665710389614,0.0,38.5,0.0,1.2,0.0,0.19363974407315254,0.0,0.0,0.0015625,0.15234375,0.84609375
energy_limited,centered_full_action_dqn_exact,802,119.2715214484185,28.19056693688035,91.08095439754428,1.4860943030565976,16137.591081619263,922.4597014576196,0.0,38.95,0.0,1.45,0.0,0.19153287410736083,0.0,0.0,0.0,0.3046875,0.6953125
energy_limited,centered_full_action_dqn_exact,803,117.45303940199315,28.01824897453189,89.43479047104717,1.465262975730002,15747.02506160736,784.7915188670158,0.0,38.35,0.0,0.7,0.0,0.19376712292432785,0.0,0.0,0.0,0.2375,0.7625
energy_limited,centered_full_action_dqn_exact,804,120.03649887233973,28.56202143356204,91.47447753414511,1.4774924352299421,15987.527993392945,742.9338155455887,0.0,38.8,0.0,1.35,0.0,0.19290023520588875,0.0,0.0,0.00703125,0.2046875,0.78828125
energy_limited,centered_full_action_dqn_exact,805,117.66982400521636,28.16500119753182,89.50482283040881,1.501050387043506,16253.540838241577,961.3960120528936,0.0,38.05,0.0,1.6,0.0,0.19184841811656952,0.0,0.0,0.003125,0.30625,0.690625
energy_limited,centered_full_action_dqn_exact,806,117.60049393512308,28.183627131953834,89.4168667666614,1.4791433216538281,16040.069596481324,913.5196055799722,0.0,38.3,0.0,1.35,0.0,0.19300064519047738,0.0,0.0,0.0,0.29609375,0.70390625
energy_limited,centered_full_action_dqn_exact,807,121.02935215689243,29.662305365130305,91.36704677760602,1.4975233714561909,16350.339760303497,630.8620069354772,0.0,38.85,0.0,0.9,0.0,0.19326547309756278,0.0,0.0,0.0,0.1265625,0.8734375
energy_limited,centered_full_action_dqn_exact,808,121.1596271969378,29.023889219947158,92.1357380695641,1.4877351641189307,16174.139703464509,726.393633762002,0.0,39.55,0.0,0.85,0.0,0.19314716383814812,0.0,0.0,0.0,0.17734375,0.82265625
energy_limited,centered_full_action_dqn_exact,809,121.5215359055251,28.43971278965473,93.08182331591846,1.4976066058967263,16330.692072868347,960.9413863837719,0.0,39.55,0.0,1.45,0.0,0.1933676518499851,0.0,0.0,0.0,0.3171875,0.6828125
energy_limited,centered_full_action_dqn_exact,810,116.67856939442456,27.206925712898375,89.47164368823171,1.4825051363091917,15947.008539009094,1061.7260444313288,0.0,38.3,0.0,1.05,0.0,0.1921002060174942,0.0,0.0,0.015625,0.3828125,0.6015625
energy_limited,centered_full_action_dqn_exact,811,120.48198369883,28.86005682274699,91.6219270645827,1.4894827051088213,16117.203928661347,740.0013962328434,0.0,38.9,0.0,1.4,0.0,0.19162164032459258,0.0,0.0,0.0,0.1859375,0.8140625
energy_limited,centered_full_action_dqn_exact,812,116.60029771462082,27.656885144487024,88.94341244384647,1.4874307449907065,16207.365733242035,1085.1828806966544,0.0,38.5,0.0,1.6,0.0,0.19263138249516487,0.0,0.0,0.0,0.39921875,0.60078125
energy_limited,centered_full_action_dqn_exact,813,119.90248437263071,28.735765613988043,91.16671876646578,1.4881421807222068,16190.475255012512,819.0655944362283,0.0,38.9,0.0,1.3,0.0,0.19301798790693284,0.0,0.0,0.00625,0.2453125,0.7484375
energy_limited,centered_full_action_dqn_exact,814,117.4138889554143,28.18625369295478,89.22763526245951,1.490670739579946,16310.628654575348,1054.718243419379,0.0,38.35,0.0,1.1,0.0,0.19197046682238578,0.0,0.0,0.02890625,0.3859375,0.58515625
energy_limited,centered_full_action_dqn_exact,815,119.7621468662098,28.35867807921022,91.4034688216448,1.4833931126631796,16180.462571525573,863.316709291935,0.0,39.3,0.0,0.8,0.0,0.19287444427609443,0.0,0.0,0.0,0.28359375,0.71640625
